河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.15,,-1.76,22600,--,--,--,2021-09-01 23:00
,武隆,175.98,,2.29,2610,--,--,--,2021-09-01 23:00
,宜昌,47.79,,-0.15,29000,52.00,53.00,55.73,2021-09-01 23:00
,枝城,44.02,,-0.12,29400,48.00,49.00,51.75,2021-09-01 23:00
,沙市,39.32,,-0.11,25300,42.00,43.00,45.00,2021-09-01 23:00
,监利,33.43,,-0.07,23700,34.50,35.70,37.23,2021-09-01 23:00
,莲花塘,30.32,,-0.03,,--,32.50,34.40,2021-09-01 23:00
,螺山,29.37,,-0.04,35700,31.00,32.00,34.01,2021-09-01 23:00
,汉口,24.58,,0.00,43700,25.00,27.30,29.73,2021-09-01 23:00
,黄石,21.04,,0.02,,22.80,24.50,27.50,2021-09-01 23:00
,码头镇,18.66,,0.03,,20.50,21.50,24.50,2021-09-01 23:00
,九江,17.52,,0.02,45600,--,20.00,23.25,2021-09-01 23:00
,三峡水库,158.86,,0.63,27400(出),--,--,--,2021-09-01 23:00
洞庭湖,城陵矶,30.40,,0.00,10700,--,33.00,34.55,2021-09-01 23:00
鄱阳湖,湖口,16.87,,0.04,1230,--,19.50,22.50,2021-09-01 23:00
湘江,湘潭,31.71,缺测,31.71,976,--,38.00,39.50,2021-09-01 23:00
资水,桃江,33.86,,1.43,944,--,39.20,42.30,2021-09-01 23:00
沅水,桃源,33.69,,-0.01,2690,--,42.50,45.40,2021-09-01 23:00
澧水,石门,51.73,,-0.11,751,--,58.50,61.00,2021-09-01 23:00
松滋河,新江口,41.16,,-0.15,2490,43.00,44.00,45.77,2021-09-01 23:00
,沙道观,40.98,,-0.14,833,43.00,44.00,45.21,2021-09-01 23:00
藕池河,管家铺,35.63,,-0.09,1420,37.50,38.50,39.50,2021-09-01 23:00
,康家岗,35.40,,-0.10,44.3,37.50,38.50,39.87,2021-09-01 23:00
虎渡河,弥陀寺,39.13,,-0.14,765,42.00,43.00,44.15,2021-09-01 23:00
长湖,长湖,30.94,,-0.02,,31.50,32.50,33.50,2021-09-01 23:00
洪湖,挖沟咀,25.48,,-0.08,,25.80,26.20,27.00,2021-09-01 23:00
刁汊湖,五房台,24.11,,-0.03,,--,24.80,26.00,2021-09-01 23:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-01 23:00
梁子湖,梁子镇,19.19,,-0.02,,19.00,20.50,21.36,2021-09-01 23:00
汉江,安康,241.83,,4.18,6300,--,--,--,2021-09-01 23:00
,白河,182.36,,2.76,10400,--,187.00,191.00,2021-09-01 23:00
,黄家港,93.27,,-0.05,7340,--,--,--,2021-09-01 23:00
,襄阳,65.78,,-0.28,,65.50,67.00,70.00,2021-09-01 23:00
,宜城,57.56,,-0.56,,56.50,57.50,59.30,2021-09-01 23:00
,皇庄,48.25,,0.65,11700,47.00,48.00,50.62,2021-09-01 23:00
,沙洋,41.64,,0.66,,40.80,41.80,44.50,2021-09-01 23:00
,岳口,37.34,,0.63,,36.90,37.90,40.62,2021-09-01 23:00
,仙桃,34.49,,0.57,7690,34.10,35.10,36.20,2021-09-01 23:00
,汉川,29.52,,0.28,,28.00,29.00,31.69,2021-09-01 23:00
,丹江口水库,165.24,,-0.05,"10300(入)
7710(出)",--,--,--,2021-09-01 23:00
清江,水布垭,396.40,,-0.50,"590(入)
905(出)",--,--,--,2021-09-01 23:00
,隔河岩,195.72,,0.06,"1260(入)
941(出)",--,--,--,2021-09-01 23:00
沮漳河,河溶,42.33,,0.41,192,47.50,48.50,50.00,2021-09-01 23:00
东荆河,潜江,38.70,,0.63,1530,38.40,39.70,42.11,2021-09-01 23:00
汉北河,天门,24.52,,-0.06,62.1,28.30,29.30,30.00,2021-09-01 23:00
大富水,应城,24.11,,-0.06,43.5,27.50,29.00,33.00,2021-09-01 23:00
环水,花园,32.69,,-0.05,23.9,--,37.50,39.95,2021-09-01 23:00
,孝感,24.48,,-0.19,,26.50,27.50,31.00,2021-09-01 23:00
府河,隔蒲潭,24.77,,-0.10,184,29.50,30.50,33.50,2021-09-01 23:00
府澴河,卧龙潭,24.07,,-0.06,,26.50,27.00,29.69,2021-09-01 23:00
富水,阳新,19.20,,0.01,,20.50,21.70,23.00,2021-09-01 23:00
滠水,黄陂,24.12,,0.00,,25.00,26.00,29.31,2021-09-01 23:00
倒水,李家集,24.56,,-0.35,,26.30,28.00,30.73,2021-09-01 23:00
举水,柳子港,23.55,,-0.05,73.0,28.00,29.00,33.11,2021-09-01 23:00
巴水,马家潭,21.55,,0.00,207,--,--,--,2021-09-01 23:00
蕲水,西河驿,20.15,,0.02,150,--,--,--,2021-09-01 23:00
